adipose_tissue,adrenal_gland,brain,breast,colon,heart,kidney,leukocyte,liver,lung,lymph_node,ovary,prostate_gland,skeletal_muscle_tissue,testis,thyroid_gland,micropeptide_aa_avg,genebody_SINE,genebody_LTR,genebody_LINE,genebody_Gm12878H3k27ac,genebody_Gm12878H3k4me1,genebody_Gm12878H3k4me3,genebody_H1hescH3k27ac,genebody_H1hescH3k4me1,genebody_H1hescH3k4me3,genebody_K562H3k27ac,genebody_K562H3k4me1,genebody_K562H3k4me3,TSS1k_Gm12878H3k27ac,TSS1k_Gm12878H3k4me1,TSS1k_Gm12878H3k4me3,TSS1k_H1hescH3k27ac,TSS1k_H1hescH3k4me1,TSS1k_H1hescH3k4me3,TSS1k_K562H3k27ac,TSS1k_K562H3k4me1,TSS1k_K562H3k4me3,TSS5k_Gm12878H3k27ac,TSS5k_Gm12878H3k4me1,TSS5k_Gm12878H3k4me3,TSS5k_H1hescH3k27ac,TSS5k_H1hescH3k4me1,TSS5k_H1hescH3k4me3,TSS5k_K562H3k27ac,TSS5k_K562H3k4me1,TSS5k_K562H3k4me3,cancer-miRNA_targets,miRNA_targets,hbm_total_degree,hbm_cancer-protein_degree
0.0,0.095,0.83125,0.11875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.095,0.07916669999999999,0.0,0.095,0.0,65.0,11.0,3.0,6.0,1.2287299999999999,2.9056,2.59361,2.7772799999999997,3.15753,1.7491700000000001,2.3105700000000002,3.60817,3.64356,4.8789,3.48065,1.55789,1.26316,1.4813399999999999,0.0,1.03115,1.36709,10.8977,1.16308,1.8342,1.45455,0.8554219999999999,1.3061200000000002,2.3519799999999997,1.30434,1.5178,1.36667,0.0,0.0,2517.0,11.0
0.0,0.095,0.0,0.11875,0.0,0.0,0.0,0.0,0.158333,0.0,0.7125,0.0,0.0,0.0,0.19,0.095,0.0,2.0,2.0,0.0,1.39456,2.44892,1.96145,2.60079,2.61635,1.22364,1.57774,1.6,1.18812,0.930481,1.2417200000000002,2.06523,0.8888889999999999,1.2473299999999998,1.30588,3.15772,14.7065,0.925,1.43,0.9250510000000001,0.864943,1.5107,1.29738,2.4612,3.14542,5.24402,1.71226,3.0,3.0,382.0,0.0
0.0,0.19,3.5625,0.2375,0.59375,0.0,0.665,0.0,0.0,0.19,0.0,0.475,2.375,0.0,0.095,0.095,69.0,13.0,7.0,11.0,7.737989999999999,7.03666,6.29787,2.7526900000000003,2.84164,1.27081,1.44773,1.50885,1.61024,0.896739,2.77363,2.79568,1.24984,0.955752,22.7663,10.1247,1.3514,1.58723,1.7592599999999998,0.8222219999999999,2.6552599999999997,10.9647,23.4881,3.67884,1.68182,1.35622,1.52846,0.0,0.0,177.0,1.0
1.1875,1.9,1.1875,2.375,0.475,1.58333,1.9,0.475,3.16667,0.95,0.791667,0.95,0.791667,0.475,37.05,2.85,0.0,17.0,8.0,25.0,5.1145,1.9688599999999998,3.8983,3.91236,3.1882200000000003,3.3663300000000005,7.97617,2.80361,5.54664,41.287,25.5755,26.4352,54.6922,103.962,21.2609,7.7832,12.4739,5.83009,63.0195,9.339839999999999,85.13600000000001,4.884440000000001,44.0655,4.85195,24.7023,5.0292699999999995,18.5768,2.0,3.0,4717.0,7.0
0.2375,0.95,0.7125,0.59375,0.2375,0.158333,0.38,0.0678571,0.158333,0.19,0.475,0.57,0.2375,0.0,0.38,0.475,0.0,9.0,0.0,2.0,6.8498399999999995,2.7987599999999997,6.66419,9.70481,8.25765,7.07234,3.75084,3.6518699999999997,5.339180000000001,2.03733,3.0405,1.23081,1.48167,1.6434799999999998,1.2634100000000001,1.19888,1.21214,1.74118,1.4177799999999998,1.44783,1.73557,1.02396,1.39406,1.11111,1.67408,1.5758299999999998,1.69912,4.0,5.0,153.0,0.0
0.0,0.095,0.2375,0.11875,0.0,0.0,0.095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,13.0,9.0,24.0,1.0448899999999999,1.33575,1.72426,2.2439299999999998,2.22838,1.31544,1.48536,1.2755299999999998,1.7936900000000002,0.8771469999999999,1.8657599999999999,7.27452,11.7904,1.47422,7.021739999999999,3.3607,1.7968,1.5246,1.8659400000000002,1.40493,1.16821,9.58676,4.8417900000000005,5.91688,1.554,10.6838,2.00731,0.0,0.0,465.0,1.0
14.25,6.65,2.375,8.3125,8.3125,11.0833,2.85,3.3928599999999998,6.33333,10.45,4.75,11.4,5.54167,20.9,5.7,7.6,60.0,4.0,1.0,0.0,15.6538,7.17128,27.3373,8.57286,5.12964,14.7394,37.0645,13.7663,41.791000000000004,38.5283,21.2806,39.0667,68.4736,117.734,148.043,49.6965,17.6755,2.93362,151.656,5.1531199999999995,98.6149,3.6313199999999997,108.96700000000001,4.56335,39.0648,21.0063,49.0636,61.0,64.0,72.0,8.0
0.0,0.095,0.0,0.11875,0.0,0.0,0.0,0.0,0.158333,0.0,0.0,0.095,0.07916669999999999,0.0,0.095,0.095,0.0,0.0,0.0,1.0,7.3213,4.24897,18.4905,5.4539,4.87282,16.0639,15.3405,7.3265199999999995,22.9981,0.903509,2.31169,1.43175,1.0794,1.47512,0.925,20.258,11.3904,1.3627200000000002,1.6,5.10616,1.7942599999999997,1.28696,1.11374,1.6436400000000002,42.4933,5.94423,25.8284,0.0,0.0,59.0,0.0
0.475,0.38,0.0,0.475,0.2375,0.0,0.475,0.0678571,0.158333,0.38,0.07916669999999999,39.9,0.07916669999999999,0.0,24.7,0.19,0.0,0.0,0.0,0.0,0.932773,1.3589200000000001,1.3291899999999999,3.06318,10.0448,1.76702,9.446010000000001,15.8139,9.632760000000001,1.34409,3.11358,1.3161,0.878268,13.882,0.8929729999999999,1.1478899999999999,1.13725,3.5823699999999996,1.3540299999999998,14.5056,11.9555,2.65643,0.955442,2.41534,1.66373,1.40696,1.46675,0.0,0.0,273.0,2.0
0.11875,0.285,0.2375,0.35625,0.475,0.158333,0.19,0.0678571,0.0,0.095,0.158333,0.19,0.0,0.0,0.095,0.19,47.0,6.0,0.0,1.0,3.5990900000000003,9.96693,4.95301,4.4247,3.48127,2.3391900000000003,2.13148,6.218430000000001,3.56981,1.15688,2.02497,0.8705879999999999,1.3312,1.16353,1.8698400000000002,1.53949,1.46279,1.58571,1.6524400000000001,2.26681,1.3527,6.40146,1.8536400000000002,1.21212,2.10697,2.70845,2.23843,0.0,0.0,9.0,0.0
0.0,0.19,0.11875,0.11875,0.0,0.158333,0.0,0.0,0.158333,0.095,0.0,0.19,0.07916669999999999,0.0,0.285,0.095,0.0,25.0,9.0,41.0,1.24984,1.38975,1.76482,2.3822799999999997,2.1115,1.31745,4.13837,5.25496,4.7045,0.8623850000000001,1.61307,1.6087,1.6181299999999998,3.63944,1.9177400000000002,1.41221,1.48329,2.1181799999999997,1.2007700000000001,6.32986,3.3046599999999997,1.02944,1.4,2.1029,1.44167,3.5124699999999995,1.8967900000000002,8.0,10.0,8.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.85,0.0,0.0,1.0,0.0,4.0,1.2567700000000002,1.65516,1.8803900000000002,2.43146,2.5001,1.76232,2.0122400000000003,2.58759,1.8701599999999998,1.24135,2.18792,1.27242,1.04348,1.68724,0.8222219999999999,1.1076,1.30818,1.26274,0.9697959999999999,2.84539,1.14785,0.9175979999999999,1.22983,1.72973,2.22134,1.33,1.1525,0.0,0.0,5455.0,15.0
0.11875,0.95,2.375,0.2375,3.5625,0.0,0.95,1.35714,0.158333,0.38,1.58333,0.285,0.7125,0.0,0.95,0.285,0.0,0.0,0.0,0.0,6.21666,3.71579,7.7686,10.0567,4.52654,18.7577,2.07523,4.47688,7.386,8.288839999999999,12.9605,8.23062,42.8336,2.13231,1.39517,1.30588,3.50615,4.9629199999999996,84.4641,2.40761,7.354210000000001,3.34215,17.9879,1.61525,32.1766,8.33349,44.023,0.0,0.0,9.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.85,0.0,0.0,4.0,2.0,7.0,1.0996,1.50185,1.6932200000000002,3.07058,4.76664,1.50661,1.48549,1.52805,1.36817,0.9359270000000001,3.9757,1.16679,1.0,1.89838,1.12782,1.07328,1.3521100000000001,1.4301,1.1662700000000001,1.12121,1.45187,0.885,2.46926,1.12794,1.5664200000000001,1.62116,1.4587299999999999,0.0,0.0,5455.0,15.0
